,nameFirst,nameLast,BAT_ID,RE24,PA,Runs.Start
199,Noel,Cuevas,cuevn001,0.3056218,2,2.114255966
200,Charlie,Culberson,culbc001,-6.170007404,144,79.80101982
201,Cheslor,Cuthbert,cuthc001,-14.98018523,330,168.5140381
202,David,Dahl,dahld001,14.38993155,413,215.8102042
203,Travis,d'Arnaud,darnt001,6.72824064,391,204.5470287
204,Yu,Darvish,darvy001,-11.22215104,62,29.75600992
205,Chris,Davis,davic003,-11.72013098,352,172.0869679
206,J. D.,Davis,davij006,5.532459289,453,238.1198179
207,Jonathan,Davis,davij007,-6.883360001,95,46.33197503
208,Jaylin,Davis,davij008,-4.026833573,47,22.9369217
209,Johnny,Davis,davij009,0.137078271,4,1.692397817
210,Khris,Davis,davik003,-10.8944489,533,286.3956144
211,Rajai,Davis,davir003,2.05507733,26,16.00775609
212,Rookie,Davis,davir004,-0.426323355,1,1.426940639
213,Taylor,Davis,davit004,-0.155273675,20,9.542720061
214,Zach,Davies,daviz001,-10.03582826,55,31.15653496
215,Yonathan,Daza,dazay001,-8.740347615,105,52.6535552
216,Austin,Dean,deana001,-5.660239365,189,89.7255066
217,Jacob,deGrom,degrj001,-4.785065478,70,32.96420017
218,Paul,DeJong,dejop001,-11.27397049,664,344.3654611
219,Nick,Delmonico,delmn001,-1.622499243,68,34.3556599
220,Enyel,De Los Santos,deloe001,-0.244456635,1,0.534538863
221,Travis,Demeritte,demet001,-8.910412723,186,87.79910735
222,Anthony,DeSclafani,desca001,-11.40706085,57,23.52825039
223,Daniel,Descalso,descd001,-13.61270064,194,95.48410179
224,Delino,DeShields,deshd002,-7.955294863,408,206.3302428
225,Ian,Desmond,desmi001,-3.768133228,482,259.0245258
226,Ross,Detwiler,detwr001,-0.356909857,2,0.646992085
227,Rafael,Devers,dever001,48.40119823,702,364.5070518
228,Aledmys,Diaz,diaza003,8.898997155,247,137.7389674
229,Elias,Diaz,diaze005,-15.60744997,332,175.301397
230,Isan,Diaz,diazi001,-5.294468936,201,105.3585671
231,Miguel,Diaz,diazm004,-0.112453222,1,0.112453222
232,Yandy,Diaz,diazy001,-1.92098653,346,178.2682113
233,Alex,Dickerson,dicka001,4.832232208,190,101.8887239
234,Corey,Dickerson,dickc002,21.52618289,278,140.4663328
235,Derek,Dietrich,dietd001,11.93497638,306,142.9645751
236,Wilmer,Difo,difow001,-8.316755366,145,70.6968844
237,Nick,Dini,dinin001,1.824965707,64,31.07611598
238,Brandon,Dixon,dixob001,-12.51758263,420,215.203034
239,Seranthony,Dominguez,domis001,-0.333237863,1,0.333237863
240,Josh,Donaldson,donaj001,27.55844312,659,343.0261143
241,Sean,Doolittle,dools001,-2.936884081,3,3.395542704
242,Brian,Dozier,dozib001,-3.780558645,482,240.3063789
243,Hunter,Dozier,dozih001,10.28991979,586,315.8394361
244,Oliver,Drake,drako001,0.914498039,1,0.544160584
245,Brandon,Drury,drurb001,-22.04897827,447,224.0077632
246,Mauricio,Dubon,dubom001,-1.1884098,111,54.16190685
247,Lucas,Duda,dudal001,-4.631577007,119,59.73698576
248,Danny,Duffy,duffd001,-0.05613019,4,0.998209351
249,Matt,Duffy,duffm002,-0.198673321,169,83.28729141
250,Robert,Dugger,duggr001,-2.502248506,11,4.463545546
251,Steven,Duggar,duggs001,-1.723788266,281,134.9413471
252,Justin,Dunn,dunnj002,-0.333237863,1,0.333237863
253,Jon,Duplantier,duplj001,-1.522834819,8,3.018851887
254,Montana,DuRapau,duram002,-0.623320091,4,0.974537358
255,Adam,Duvall,duvaa001,1.296798664,130,71.18247753
256,Jarrod,Dyson,dysoj001,-11.62670924,451,226.266137
257,Adam,Eaton,eatoa002,3.386306136,656,335.2446653
258,Tommy,Edman,edmat001,14.75310135,350,174.9872022
259,Zach,Eflin,efliz001,-9.021528632,52,23.82541147
260,Jerad,Eickhoff,eickj001,-4.178198794,19,11.17288024
261,Roenis,Elias,eliar001,-0.177629006,1,0.290082228
262,Jake,Elmore,elmoj001,-3.648930267,49,21.83273732
263,Edwin,Encarnacion,encae001,33.48446516,486,241.0498566
264,Adam,Engel,engea001,-4.811240664,248,133.0735805
265,Nathan,Eovaldi,eovan001,-0.879211834,2,2.114255966
266,Robbie,Erlin,erlir001,-1.023500843,4,1.023500843
267,Phil,Ervin,ervip001,-3.755694371,260,121.075316
268,Eduardo,Escobar,escoe001,20.61094161,699,367.551144
269,Luis,Escobar,escol001,-0.510866869,2,0.623320091
270,Tom,Eshelman,eshet001,-0.636287629,2,0.748740851
271,Thairo,Estrada,estrt001,2.590388912,69,35.1250509
272,Kyle,Farmer,farmk001,-4.329582773,198,110.0836093
273,Erick,Fedde,fedde001,-3.364035389,20,9.27165842
274,Tim,Federowicz,fedet001,-8.109459745,83,43.51506874
275,Caleb,Ferguson,fergc001,0.25282,2,0.351217267
276,Derek,Fisher,fishd001,-7.592872686,168,87.37727188
277,Jack,Flaherty,flahj002,-9.217656125,66,36.65202926
278,Ryan,Flaherty,flahr001,-2.543826855,22,10.50848959
279,David,Fletcher,fletd002,6.250077841,653,335.9351716
280,Chris,Flexen,flexc001,-0.051318183,2,0.402535449
281,Dylan,Floro,flord002,-0.463187946,2,1.476618025
282,Wilmer,Flores,florw001,0.97152122,285,148.5983594
283,Tyler,Flowers,flowt001,-14.73222016,310,163.7384418
284,Mike,Foltynewicz,foltm001,-8.522584536,38,18.88761922
285,Wilmer,Font,fontw001,-0.889440646,4,1.681337132
286,Mike,Ford,fordm002,10.1553218,163,68.95425221
287,Logan,Forsythe,forsl001,-3.007400523,367,202.6222643
288,Dexter,Fowler,fowld001,7.023518422,574,283.7172498
289,Jake,Fraley,fralj001,-7.253800668,41,23.63754825
290,Maikel,Franco,franm004,-6.228305702,428,218.7438418
291,Ty,France,frant002,-3.096083361,201,100.1725795
292,Adam,Frazier,fraza001,2.696984861,608,309.7915563
293,Clint,Frazier,frazc001,10.03211401,246,126.990849
294,Todd,Frazier,frazt001,-0.690270685,499,267.9812454
295,David,Freese,freed001,12.42040791,186,94.04363583
296,Freddie,Freeman,freef001,51.39269036,692,335.8063372
297,Kyle,Freeland,freek001,-5.926546,31,14.91715601
298,Mike,Freeman,freem002,1.000927486,213,111.5607895
299,David,Freitas,freid001,-2.55731525,20,7.759349965
300,Max,Fried,friem001,-9.401935497,65,37.86043626
301,Josh,Fuentes,fuenj001,-3.600488022,56,29.01573645
302,Carson,Fulmer,fulmc001,-0.458658623,1,0.458658623
303,Drew,Gagnon,gagnd001,-1.817767537,4,2.899332894
304,Rocky,Gale,galer002,-1.546191811,15,4.400342892
305,Cam,Gallagher,gallc001,-6.327330107,142,70.63156156
306,Giovanny,Gallegos,gallg001,-0.696350878,3,2.64879483
307,Isaac,Galloway,galli001,-6.860627352,54,28.26300633
308,Joey,Gallo,gallj002,13.54925863,297,159.7528
309,Zac,Gallen,gallz001,-5.098672607,24,12.46659574
310,Freddy,Galvis,galvf001,-7.752776963,588,293.5399788
311,Ben,Gamel,gameb001,5.530599088,356,174.1445456
312,John,Gant,gantj002,-0.467711233,3,0.692617677
313,Avisail,Garcia,garca003,-4.202892078,530,285.7586508
314,Aramis,Garcia,garca006,-3.732058896,46,27.51013111
315,Greg,Garcia,garcg002,3.297279411,372,195.2707519
316,Jarlin,Garcia,garcj006,-0.238764045,1,0.238764045
317,Leury,Garcia,garcl004,-17.80091849,618,321.0314409
318,Robel,Garcia,garcr005,-4.000595463,80,39.99357887
319,Rico,Garcia,garcr006,-0.177629006,1,0.290082228
320,Yimi,Garcia,garcy001,-1.49896173,2,3.876230123
321,Brett,Gardner,gardb001,5.273231347,550,290.1965775
322,Kyle,Garlick,garlk001,-1.965796984,53,23.93053429
323,Dustin,Garneau,garnd001,4.624360044,101,54.72232544
324,Mitch,Garver,garvm001,24.94597883,359,184.2594059
325,Kevin,Gausman,gausk001,-5.904123491,27,11.93351443
326,Scooter,Gennett,genns001,-9.589786749,139,71.38379801
327,Mike,Gerber,gerbm001,-7.210318281,26,13.82871112
328,Domingo,German,germd001,-2.82238309,8,4.34750945
329,Kyle,Gibson,gibsk002,-0.520760485,4,3.483588737
330,Lucas,Giolito,gioll001,0.340792659,4,2.502008653
331,Tyler,Glasnow,glast001,-0.422085641,2,0.824621091
332,Zack,Godley,godlz001,-1.83167335,23,12.56350987
333,Ryan,Goins,goinr001,-7.958588137,163,80.49497121
334,Paul,Goldschmidt,goldp001,23.00453584,682,353.5187572
335,Carlos,Gomez,gomec002,-5.258144382,99,52.66935953
336,Yan,Gomes,gomey001,-3.0416606,358,183.1908633
337,Tony,Gonsolin,gonst001,-1.900935537,14,6.499319459
338,Carlos,Gonzalez,gonzc001,-11.42033662,166,86.53477377
339,Chi Chi,Gonzalez,gonzc002,-5.152734848,24,11.95121038
340,Erik,Gonzalez,gonze004,-10.63717007,156,80.1351368
341,Gio,Gonzalez,gonzg003,-6.653461823,28,13.77287457
342,Marwin,Gonzalez,gonzm002,-4.132114601,463,212.4587285
343,Marco,Gonzales,gonzm005,0.672789623,6,3.87453269
344,Brian,Goodwin,goodb001,-2.180197872,458,232.1787367
345,Niko,Goodrum,goodn002,-14.48811675,472,254.5647504
346,Alex,Gordon,gorda001,6.355968707,633,322.812186
347,Dee,Gordon,gordd002,-9.898037765,421,219.5965207
348,Terrance,Gore,goret001,-0.293576613,58,26.6803964
349,Philip,Gosselin,gossp001,-3.037480144,68,33.05832865
350,Trevor,Gott,gottt001,-0.177629006,1,0.290082228
351,Matt,Grace,gracm003,-0.909362791,3,1.905642879
352,Curtis,Granderson,granc001,-5.563507514,363,178.8824202
353,Yasmani,Grandal,grany001,19.16576952,632,330.9640657
354,Juan,Graterol,gratj001,-2.226301177,18,7.780346749
